account_id,account_name,created_at,plan_tier,industry,region,company_size_bucket,billing_status
acct_00000001,Bright Works,2025-01-02 09:00:00,mid_market,Media,EMEA,201-500,active
acct_00000002,Blue AI,2025-01-06 09:00:00,smb,Logistics,EMEA,1-10,active
acct_00000003,Swift Systems,2025-01-01 09:00:00,mid_market,Fintech,APAC,51-200,active
acct_00000004,Echo Ops,2025-01-23 09:00:00,smb,Travel,LATAM,11-50,active
acct_00000005,Pulse Ops,2025-02-10 09:00:00,mid_market,SaaS,NA,201-500,active
acct_00000006,Signal HQ,2025-01-15 09:00:00,smb,E-commerce,NA,11-50,active
acct_00000007,Bright Ops,2025-02-13 09:00:00,mid_market,E-commerce,NA,501-1000,active
acct_00000008,Echo Labs,2025-02-05 09:00:00,mid_market,Marketplace,APAC,201-500,active
acct_00000009,Vector Flow,2025-02-06 09:00:00,smb,Professional Services,EMEA,11-50,active
acct_00000010,Swift Cloud,2025-02-05 09:00:00,smb,Healthcare,LATAM,1-10,active
acct_00000011,Bright Ops,2025-01-04 09:00:00,smb,Travel,NA,11-50,active
acct_00000012,Blue Ops,2025-01-17 09:00:00,smb,Logistics,EMEA,11-50,active
acct_00000013,Blue Ops,2025-01-08 09:00:00,mid_market,Media,LATAM,501-1000,active
acct_00000014,Vector Cloud,2025-01-07 09:00:00,smb,E-commerce,APAC,11-50,active
acct_00000015,Signal Works,2025-02-03 09:00:00,mid_market,Healthcare,LATAM,501-1000,active
acct_00000016,North Support,2025-01-16 09:00:00,smb,SaaS,APAC,51-200,active
acct_00000017,Prime Cloud,2025-01-31 09:00:00,smb,Professional Services,LATAM,51-200,active
acct_00000018,Vector Support,2025-02-15 09:00:00,mid_market,Travel,NA,51-200,active
acct_00000019,Blue Ops,2025-02-07 09:00:00,smb,SaaS,NA,1-10,active
acct_00000020,Peak Works,2025-02-02 09:00:00,smb,Professional Services,EMEA,11-50,active
acct_00000021,Swift Support,2025-01-27 09:00:00,mid_market,EdTech,EMEA,201-500,active
acct_00000022,Echo Works,2025-01-07 09:00:00,enterprise,E-commerce,EMEA,501-1000,active
acct_00000023,Signal HQ,2025-01-30 09:00:00,smb,Travel,NA,51-200,active
acct_00000024,Bright Support,2025-01-06 09:00:00,mid_market,Fintech,NA,51-200,active
acct_00000025,Signal Support,2025-01-25 09:00:00,smb,Professional Services,LATAM,11-50,active
acct_00000026,Blue Ops,2025-01-10 09:00:00,mid_market,SaaS,NA,51-200,active
acct_00000027,North AI,2025-02-03 09:00:00,smb,Travel,EMEA,1-10,active
acct_00000028,Pulse Support,2025-02-06 09:00:00,smb,Travel,EMEA,51-200,active
acct_00000029,Bright Cloud,2025-02-15 09:00:00,smb,EdTech,LATAM,51-200,active
acct_00000030,North AI,2025-02-09 09:00:00,smb,Fintech,LATAM,51-200,active
acct_00000031,Prime Systems,2025-01-24 09:00:00,enterprise,Professional Services,APAC,1001-5000,active
acct_00000032,Aurora Works,2025-02-05 09:00:00,mid_market,E-commerce,NA,201-500,active
acct_00000033,Vector HQ,2025-02-08 09:00:00,smb,Travel,NA,51-200,active
acct_00000034,Blue Tech,2025-02-10 09:00:00,smb,Logistics,NA,11-50,active
acct_00000035,Aurora Ops,2025-01-28 09:00:00,mid_market,E-commerce,NA,201-500,active
acct_00000036,Cedar Tech,2025-01-28 09:00:00,mid_market,Marketplace,APAC,51-200,active
acct_00000037,Atlas Desk,2025-01-07 09:00:00,smb,Media,LATAM,1-10,active
acct_00000038,Lumen Systems,2025-01-12 09:00:00,smb,Professional Services,APAC,51-200,past_due
acct_00000039,Swift Labs,2025-01-18 09:00:00,mid_market,EdTech,NA,501-1000,active
acct_00000040,Swift Systems,2025-01-15 09:00:00,smb,SaaS,APAC,11-50,active
acct_00000041,Aurora Works,2025-02-13 09:00:00,smb,Professional Services,NA,51-200,active
acct_00000042,Echo Support,2025-01-07 09:00:00,smb,Professional Services,NA,51-200,active
acct_00000043,Cedar Stack,2025-01-03 09:00:00,smb,Media,APAC,11-50,past_due
acct_00000044,Pulse Cloud,2025-01-05 09:00:00,smb,E-commerce,APAC,11-50,active
acct_00000045,Bright Support,2025-01-21 09:00:00,mid_market,Professional Services,EMEA,501-1000,active
acct_00000046,Nova AI,2025-01-20 09:00:00,mid_market,Media,EMEA,201-500,active
acct_00000047,Cedar Tech,2025-02-13 09:00:00,smb,E-commerce,NA,11-50,active
acct_00000048,Peak Systems,2025-01-22 09:00:00,mid_market,Marketplace,NA,51-200,active
acct_00000049,Swift Cloud,2025-02-09 09:00:00,enterprise,E-commerce,EMEA,1001-5000,active
acct_00000050,Atlas HQ,2025-02-11 09:00:00,smb,Media,NA,51-200,active
acct_00000051,Cedar Works,2025-01-30 09:00:00,mid_market,E-commerce,EMEA,201-500,churned
acct_00000052,Pulse Ops,2025-01-21 09:00:00,mid_market,Travel,APAC,201-500,active
acct_00000053,Atlas Systems,2025-01-31 09:00:00,enterprise,Media,EMEA,1001-5000,active
acct_00000054,Cloud Stack,2025-02-15 09:00:00,smb,E-commerce,NA,11-50,active
acct_00000055,Signal Labs,2025-01-05 09:00:00,mid_market,Marketplace,NA,501-1000,active
acct_00000056,Swift Labs,2025-01-02 09:00:00,enterprise,Healthcare,APAC,5000+,active
acct_00000057,Echo HQ,2025-01-27 09:00:00,enterprise,EdTech,NA,1001-5000,active
acct_00000058,Bright Support,2025-02-12 09:00:00,smb,E-commerce,EMEA,1-10,active
acct_00000059,Swift HQ,2025-02-06 09:00:00,smb,E-commerce,NA,11-50,active
acct_00000060,Echo Tech,2025-01-22 09:00:00,smb,Fintech,NA,1-10,active
acct_00000061,Aurora Labs,2025-01-23 09:00:00,smb,SaaS,NA,51-200,active
acct_00000062,Pulse AI,2025-01-16 09:00:00,mid_market,Logistics,APAC,51-200,active
acct_00000063,Aurora Works,2025-02-15 09:00:00,mid_market,SaaS,NA,201-500,active
acct_00000064,Pulse Tech,2025-01-26 09:00:00,enterprise,Fintech,EMEA,1001-5000,active
acct_00000065,Blue Stack,2025-01-08 09:00:00,mid_market,Logistics,NA,201-500,active
acct_00000066,Aurora Cloud,2025-01-27 09:00:00,smb,Marketplace,EMEA,11-50,active
acct_00000067,Prime Support,2025-02-11 09:00:00,mid_market,EdTech,EMEA,201-500,active
acct_00000068,Echo Stack,2025-01-06 09:00:00,enterprise,Logistics,NA,1001-5000,active
acct_00000069,Cloud HQ,2025-02-01 09:00:00,smb,Media,NA,1-10,active
acct_00000070,Prime AI,2025-01-06 09:00:00,enterprise,EdTech,EMEA,1001-5000,active
acct_00000071,Nova Stack,2025-01-19 09:00:00,smb,EdTech,EMEA,11-50,active
acct_00000072,Nova AI,2025-01-22 09:00:00,mid_market,Media,NA,201-500,active
acct_00000073,Signal Ops,2025-02-14 09:00:00,enterprise,Professional Services,EMEA,1001-5000,active
acct_00000074,Nova Ops,2025-01-13 09:00:00,smb,E-commerce,NA,1-10,active
acct_00000075,North Labs,2025-01-09 09:00:00,smb,Fintech,EMEA,11-50,active
acct_00000076,Atlas Flow,2025-01-17 09:00:00,enterprise,SaaS,EMEA,501-1000,active
acct_00000077,Peak Stack,2025-02-06 09:00:00,smb,EdTech,EMEA,11-50,active
acct_00000078,Atlas Desk,2025-01-25 09:00:00,mid_market,Healthcare,EMEA,201-500,active
acct_00000079,North AI,2025-01-14 09:00:00,mid_market,Travel,NA,201-500,active
acct_00000080,Lumen Ops,2025-01-31 09:00:00,mid_market,EdTech,EMEA,501-1000,active
acct_00000081,Peak Works,2025-02-10 09:00:00,mid_market,Fintech,NA,201-500,active
acct_00000082,Lumen Stack,2025-01-04 09:00:00,smb,Fintech,NA,11-50,active
acct_00000083,North Labs,2025-01-18 09:00:00,mid_market,EdTech,NA,201-500,active
acct_00000084,Aurora Desk,2025-02-13 09:00:00,smb,Logistics,NA,1-10,active
acct_00000085,Nova Desk,2025-01-31 09:00:00,mid_market,EdTech,APAC,501-1000,active
acct_00000086,Atlas Systems,2025-01-27 09:00:00,smb,Logistics,NA,51-200,active
acct_00000087,Cloud Systems,2025-02-05 09:00:00,mid_market,Professional Services,NA,201-500,churned
acct_00000088,Blue Stack,2025-02-12 09:00:00,enterprise,Logistics,EMEA,1001-5000,active
acct_00000089,Signal Ops,2025-01-18 09:00:00,smb,E-commerce,LATAM,11-50,active
acct_00000090,Swift AI,2025-01-11 09:00:00,smb,Marketplace,NA,51-200,past_due
acct_00000091,Prime Systems,2025-01-10 09:00:00,mid_market,Marketplace,LATAM,51-200,active
acct_00000092,Lumen Works,2025-01-25 09:00:00,mid_market,SaaS,APAC,501-1000,active
acct_00000093,Lumen HQ,2025-02-02 09:00:00,smb,Travel,EMEA,51-200,past_due
acct_00000094,Prime Support,2025-01-31 09:00:00,smb,Healthcare,NA,11-50,active
acct_00000095,Cloud Support,2025-01-15 09:00:00,mid_market,Professional Services,NA,501-1000,active
acct_00000096,Blue Stack,2025-02-11 09:00:00,mid_market,Travel,APAC,501-1000,active
acct_00000097,Bright HQ,2025-02-03 09:00:00,smb,Professional Services,NA,51-200,past_due
acct_00000098,Atlas HQ,2025-02-09 09:00:00,smb,Marketplace,NA,11-50,active
acct_00000099,North Cloud,2025-02-01 09:00:00,mid_market,Professional Services,LATAM,201-500,active
acct_00000100,North Works,2025-01-07 09:00:00,smb,Fintech,NA,11-50,active
acct_00000101,Prime Stack,2025-01-23 09:00:00,smb,Media,NA,1-10,active
acct_00000102,Pulse AI,2025-02-09 09:00:00,enterprise,Logistics,EMEA,5000+,active
acct_00000103,Bright Support,2025-01-30 09:00:00,enterprise,Healthcare,EMEA,1001-5000,active
acct_00000104,Aurora HQ,2025-01-17 09:00:00,smb,E-commerce,NA,11-50,active
acct_00000105,Vector Systems,2025-02-14 09:00:00,smb,Travel,EMEA,11-50,active
acct_00000106,Cedar Tech,2025-02-08 09:00:00,smb,Fintech,APAC,1-10,active
acct_00000107,Vector HQ,2025-01-17 09:00:00,smb,Logistics,APAC,11-50,active
acct_00000108,Lumen Works,2025-01-29 09:00:00,smb,Fintech,APAC,1-10,churned
acct_00000109,Prime Systems,2025-02-04 09:00:00,smb,E-commerce,APAC,51-200,active
acct_00000110,North Desk,2025-01-19 09:00:00,enterprise,E-commerce,LATAM,5000+,active
acct_00000111,Cloud Tech,2025-01-26 09:00:00,mid_market,SaaS,EMEA,201-500,active
acct_00000112,Vector Flow,2025-02-13 09:00:00,mid_market,Logistics,EMEA,201-500,active
acct_00000113,North Tech,2025-01-21 09:00:00,enterprise,Professional Services,NA,1001-5000,active
acct_00000114,North HQ,2025-01-03 09:00:00,smb,E-commerce,EMEA,11-50,active
acct_00000115,Bright Flow,2025-02-04 09:00:00,mid_market,SaaS,EMEA,201-500,active
acct_00000116,Signal AI,2025-01-03 09:00:00,enterprise,Healthcare,LATAM,1001-5000,active
acct_00000117,Peak Works,2025-02-11 09:00:00,enterprise,Marketplace,EMEA,5000+,active
acct_00000118,Cloud Desk,2025-02-08 09:00:00,mid_market,Media,NA,501-1000,active
acct_00000119,Cloud Works,2025-02-07 09:00:00,mid_market,Professional Services,NA,501-1000,active
acct_00000120,North HQ,2025-01-09 09:00:00,smb,E-commerce,NA,51-200,active
acct_00000121,Lumen Stack,2025-01-02 09:00:00,mid_market,Media,EMEA,501-1000,active
acct_00000122,Pulse Ops,2025-01-07 09:00:00,smb,Professional Services,EMEA,11-50,active
acct_00000123,Atlas Support,2025-01-02 09:00:00,mid_market,E-commerce,EMEA,201-500,churned
acct_00000124,Nova Cloud,2025-01-21 09:00:00,enterprise,Travel,NA,5000+,active
acct_00000125,Echo Works,2025-01-30 09:00:00,smb,Logistics,APAC,11-50,active
acct_00000126,Cloud Support,2025-01-28 09:00:00,enterprise,EdTech,NA,1001-5000,active
acct_00000127,Signal Works,2025-01-24 09:00:00,mid_market,SaaS,EMEA,201-500,active
acct_00000128,Prime Systems,2025-01-09 09:00:00,smb,E-commerce,NA,11-50,active
acct_00000129,Cloud Stack,2025-01-04 09:00:00,mid_market,Fintech,EMEA,51-200,active
acct_00000130,Pulse Tech,2025-02-05 09:00:00,smb,Marketplace,LATAM,51-200,active
acct_00000131,Vector Ops,2025-02-11 09:00:00,mid_market,SaaS,NA,501-1000,active
acct_00000132,Pulse Flow,2025-01-23 09:00:00,enterprise,E-commerce,EMEA,501-1000,churned
acct_00000133,Bright Systems,2025-01-14 09:00:00,mid_market,Healthcare,LATAM,201-500,active
acct_00000134,Vector Systems,2025-01-10 09:00:00,enterprise,Logistics,EMEA,1001-5000,active
acct_00000135,North Ops,2025-02-02 09:00:00,smb,Travel,EMEA,11-50,churned
acct_00000136,Nova AI,2025-02-08 09:00:00,smb,E-commerce,NA,11-50,churned
acct_00000137,Lumen Stack,2025-01-28 09:00:00,smb,Marketplace,APAC,1-10,active
acct_00000138,North Systems,2025-01-03 09:00:00,enterprise,EdTech,NA,1001-5000,active
acct_00000139,Bright Desk,2025-01-26 09:00:00,smb,EdTech,EMEA,11-50,churned
acct_00000140,Prime Flow,2025-01-07 09:00:00,smb,Healthcare,NA,11-50,active
acct_00000141,Peak Tech,2025-02-02 09:00:00,smb,Healthcare,LATAM,11-50,active
acct_00000142,Pulse Tech,2025-01-07 09:00:00,smb,Logistics,NA,51-200,active
acct_00000143,Cedar Stack,2025-02-06 09:00:00,smb,Logistics,EMEA,51-200,active
acct_00000144,Vector Tech,2025-01-10 09:00:00,mid_market,Travel,NA,51-200,active
acct_00000145,North HQ,2025-01-03 09:00:00,smb,Marketplace,EMEA,11-50,churned
acct_00000146,Blue HQ,2025-02-05 09:00:00,smb,Travel,NA,11-50,active
acct_00000147,Atlas Desk,2025-01-04 09:00:00,smb,SaaS,EMEA,1-10,active
acct_00000148,Cloud Desk,2025-01-29 09:00:00,mid_market,Healthcare,APAC,201-500,active
acct_00000149,North Ops,2025-02-10 09:00:00,smb,Fintech,EMEA,11-50,active
acct_00000150,Bright Flow,2025-01-10 09:00:00,enterprise,Professional Services,EMEA,1001-5000,active
acct_00000151,Echo Tech,2025-01-06 09:00:00,mid_market,Logistics,APAC,201-500,active
acct_00000152,Prime Labs,2025-02-03 09:00:00,mid_market,Healthcare,LATAM,201-500,active
acct_00000153,North HQ,2025-01-13 09:00:00,mid_market,E-commerce,APAC,501-1000,active
acct_00000154,Pulse Cloud,2025-01-03 09:00:00,enterprise,E-commerce,NA,5000+,active
acct_00000155,Cloud Ops,2025-01-11 09:00:00,mid_market,Professional Services,EMEA,501-1000,active
acct_00000156,Echo Support,2025-01-15 09:00:00,mid_market,Marketplace,NA,501-1000,active
acct_00000157,Prime Support,2025-01-30 09:00:00,enterprise,E-commerce,NA,1001-5000,active
acct_00000158,Prime Works,2025-01-04 09:00:00,enterprise,Marketplace,APAC,1001-5000,active
acct_00000159,Atlas Works,2025-01-18 09:00:00,mid_market,Professional Services,APAC,501-1000,active
acct_00000160,Peak Desk,2025-01-27 09:00:00,enterprise,Healthcare,NA,5000+,active
acct_00000161,Blue Desk,2025-02-11 09:00:00,mid_market,EdTech,APAC,501-1000,active
acct_00000162,Blue AI,2025-02-09 09:00:00,smb,E-commerce,LATAM,11-50,churned
acct_00000163,Peak Cloud,2025-01-19 09:00:00,smb,Logistics,NA,51-200,active
acct_00000164,Pulse Ops,2025-02-04 09:00:00,smb,Fintech,NA,11-50,churned
acct_00000165,Aurora Labs,2025-01-12 09:00:00,mid_market,Travel,EMEA,501-1000,active
acct_00000166,Swift Flow,2025-01-25 09:00:00,mid_market,Media,NA,51-200,active
acct_00000167,Lumen Systems,2025-02-12 09:00:00,smb,SaaS,EMEA,51-200,active
acct_00000168,Vector Tech,2025-02-13 09:00:00,smb,SaaS,APAC,11-50,active
acct_00000169,Cloud Systems,2025-01-03 09:00:00,smb,Healthcare,APAC,11-50,active
acct_00000170,Echo HQ,2025-02-11 09:00:00,smb,Healthcare,NA,11-50,active
acct_00000171,Aurora Support,2025-01-29 09:00:00,enterprise,EdTech,LATAM,1001-5000,active
acct_00000172,Aurora AI,2025-01-28 09:00:00,mid_market,Fintech,NA,201-500,churned
acct_00000173,Lumen Flow,2025-01-29 09:00:00,smb,SaaS,APAC,11-50,active
acct_00000174,Blue Ops,2025-01-18 09:00:00,enterprise,EdTech,EMEA,5000+,active
acct_00000175,Echo Labs,2025-01-02 09:00:00,smb,SaaS,APAC,11-50,active
acct_00000176,Vector Desk,2025-02-06 09:00:00,smb,Healthcare,APAC,11-50,churned
acct_00000177,Aurora Labs,2025-01-26 09:00:00,smb,E-commerce,EMEA,51-200,active
acct_00000178,Pulse Ops,2025-01-17 09:00:00,smb,Professional Services,NA,1-10,active
acct_00000179,North Ops,2025-01-12 09:00:00,smb,Marketplace,NA,11-50,active
acct_00000180,Bright Ops,2025-02-04 09:00:00,smb,Media,NA,11-50,active
acct_00000181,Signal Flow,2025-01-13 09:00:00,smb,Travel,EMEA,51-200,active
acct_00000182,Aurora Ops,2025-01-06 09:00:00,smb,Travel,APAC,51-200,churned
acct_00000183,Vector Flow,2025-01-21 09:00:00,smb,Marketplace,APAC,11-50,active
acct_00000184,Blue Works,2025-01-09 09:00:00,smb,E-commerce,NA,11-50,active
acct_00000185,Nova Labs,2025-01-23 09:00:00,mid_market,E-commerce,LATAM,201-500,active
acct_00000186,Bright Desk,2025-02-09 09:00:00,mid_market,E-commerce,EMEA,201-500,active
acct_00000187,North Desk,2025-02-06 09:00:00,mid_market,Media,NA,51-200,churned
acct_00000188,Vector Systems,2025-02-09 09:00:00,mid_market,Professional Services,EMEA,501-1000,active
acct_00000189,Bright Flow,2025-01-20 09:00:00,mid_market,EdTech,NA,51-200,active
acct_00000190,Aurora Works,2025-01-21 09:00:00,enterprise,Healthcare,EMEA,1001-5000,active
acct_00000191,Blue Desk,2025-01-18 09:00:00,smb,Marketplace,NA,51-200,active
acct_00000192,Peak Works,2025-01-21 09:00:00,enterprise,Professional Services,EMEA,5000+,active
acct_00000193,Aurora AI,2025-01-06 09:00:00,smb,Healthcare,NA,11-50,active
acct_00000194,Blue Works,2025-02-11 09:00:00,enterprise,E-commerce,NA,1001-5000,active
acct_00000195,Peak Stack,2025-01-03 09:00:00,smb,SaaS,EMEA,51-200,active
acct_00000196,Aurora Flow,2025-02-09 09:00:00,smb,Media,NA,51-200,active
acct_00000197,Blue Labs,2025-01-13 09:00:00,mid_market,Media,APAC,201-500,active
acct_00000198,Cloud Flow,2025-02-02 09:00:00,smb,Logistics,APAC,11-50,active
acct_00000199,Nova Tech,2025-02-02 09:00:00,smb,Healthcare,EMEA,51-200,active
acct_00000200,Nova Cloud,2025-02-14 09:00:00,mid_market,Professional Services,EMEA,51-200,active
acct_00000201,Pulse HQ,2025-01-31 09:00:00,smb,E-commerce,EMEA,1-10,active
acct_00000202,Swift Flow,2025-01-08 09:00:00,enterprise,Fintech,EMEA,1001-5000,active
acct_00000203,Prime Desk,2025-01-04 09:00:00,smb,EdTech,NA,51-200,active
acct_00000204,Echo Ops,2025-02-04 09:00:00,smb,Logistics,EMEA,11-50,active
acct_00000205,Aurora Desk,2025-01-16 09:00:00,smb,Media,EMEA,11-50,active
acct_00000206,Echo Systems,2025-01-31 09:00:00,smb,E-commerce,EMEA,11-50,active
acct_00000207,Nova Systems,2025-01-23 09:00:00,enterprise,Media,NA,1001-5000,active
acct_00000208,Nova Stack,2025-01-31 09:00:00,smb,Fintech,NA,11-50,active
acct_00000209,Vector Labs,2025-01-04 09:00:00,smb,EdTech,EMEA,1-10,active
acct_00000210,Bright Cloud,2025-01-01 09:00:00,mid_market,Marketplace,EMEA,201-500,active
acct_00000211,Cedar Works,2025-01-19 09:00:00,mid_market,Travel,EMEA,201-500,active
acct_00000212,Cedar Labs,2025-01-12 09:00:00,enterprise,Marketplace,APAC,501-1000,active
acct_00000213,Pulse Works,2025-01-19 09:00:00,mid_market,Professional Services,NA,501-1000,past_due
acct_00000214,Prime Systems,2025-02-01 09:00:00,smb,Marketplace,NA,11-50,active
acct_00000215,Echo Stack,2025-02-15 09:00:00,mid_market,Media,NA,501-1000,active
acct_00000216,Vector AI,2025-01-28 09:00:00,enterprise,E-commerce,NA,1001-5000,active
acct_00000217,Cloud Stack,2025-01-16 09:00:00,smb,Travel,NA,11-50,active
acct_00000218,Bright Ops,2025-02-12 09:00:00,smb,Professional Services,APAC,51-200,churned
acct_00000219,Pulse AI,2025-02-10 09:00:00,mid_market,E-commerce,NA,201-500,active
acct_00000220,Echo Tech,2025-01-27 09:00:00,mid_market,Marketplace,APAC,201-500,active
acct_00000221,Cloud Desk,2025-01-06 09:00:00,mid_market,E-commerce,APAC,501-1000,active
acct_00000222,Prime Works,2025-02-04 09:00:00,smb,Fintech,EMEA,1-10,active
acct_00000223,Signal Labs,2025-01-04 09:00:00,smb,EdTech,APAC,11-50,active
acct_00000224,Blue Flow,2025-01-01 09:00:00,smb,SaaS,LATAM,51-200,active
acct_00000225,Bright Works,2025-01-31 09:00:00,smb,Logistics,EMEA,51-200,churned
acct_00000226,Swift Labs,2025-01-25 09:00:00,smb,Professional Services,APAC,1-10,active
acct_00000227,Prime Ops,2025-01-08 09:00:00,enterprise,Fintech,NA,501-1000,active
acct_00000228,Swift AI,2025-02-13 09:00:00,smb,EdTech,NA,1-10,active
acct_00000229,Pulse Desk,2025-01-08 09:00:00,enterprise,Marketplace,NA,501-1000,churned
acct_00000230,Blue Ops,2025-01-29 09:00:00,mid_market,EdTech,NA,51-200,active
acct_00000231,Peak HQ,2025-01-04 09:00:00,enterprise,Travel,EMEA,5000+,active
acct_00000232,Vector AI,2025-01-16 09:00:00,mid_market,Healthcare,NA,501-1000,active
acct_00000233,Signal Desk,2025-01-12 09:00:00,enterprise,Professional Services,EMEA,5000+,active
acct_00000234,Bright Stack,2025-01-27 09:00:00,smb,Fintech,NA,51-200,active
acct_00000235,Aurora Stack,2025-01-30 09:00:00,smb,E-commerce,NA,1-10,active
acct_00000236,Lumen AI,2025-01-29 09:00:00,mid_market,Fintech,EMEA,201-500,active
acct_00000237,Vector AI,2025-01-13 09:00:00,enterprise,Fintech,APAC,1001-5000,active
acct_00000238,North Desk,2025-01-14 09:00:00,enterprise,EdTech,NA,1001-5000,active
